original_sentence   edited_sentence
Organic chemistry - Computer programming - Computer imaging	Organic chemistry - Computer programming - Computer imaging - Cookbook
Sciences : - Organic Chemistry - Physics - Biology - Biochemistry - Cell Biology - Environmental Awareness - Horticulture	Sciences : - Organic Chemistry - Physics - Biology - Chemistry - Biochemistry - Cell Biology - Environmental Awareness - Horticulture
Languages : Spanish - English - Polish - Japanese - Lojban	Languages : French - Spanish - English - Polish - Japanese - Lojban
Sciences : - Organic Chemistry - Physics - Biology - Chemistry - Biochemistry - Cell Biology - Environmental Awareness	Sciences : - Organic Chemistry - Physics - Biology - Chemistry - Biochemistry - Cell Biology - Environmental Awareness - Science textbook library
Sciences : - Organic Chemistry - Physics - Biology - Chemistry - Biochemistry - Cell Biology - Environmental Awareness - Science textbook library	Sciences : - Organic Chemistry - Physics - Biology - Chemistry - Biochemistry - Cell Biology - General Science - Environmental Awareness - Science textbook library
Wikibooks is a project set up July 10 , 2003 for the cooperative development of free , open content textbooks .	Wikibooks is a project set up July 10 , 2003 for the cooperative development of free , open content textbooks and supporting classroom texts .
Wikibooks was set up July 10 , 2003 .	Wikibooks is a project set up July 10 , 2003 .
Now volunteers have written book modules in about 30 books .	Now volunteers have written around book modules in about 30 books .
Now volunteers have written around book modules in about 35 books .	Since then , volunteers have written around book modules and started about 35 books .
Since then , volunteers have written around book modules in dozens of new books .	Since then , volunteers have written around book modules in dozens of books .
When you are ready , to edit or create your first page , this page will get you started : .	When you are ready to edit or create your first page , this page will get you started : .
IRON MY SHIRT !	IRON MY S HIRT !
IRON MY SHIRT !	IRON MY S HIRT !
- What a load of rubbish this page is .	- What a load of rubbish t his page is .
All active Wikibooks can be found on tbis site i hope so so see you soon .	All active Wikibooks can be found on this site i hope so so see you soon .
Voting for Wikiversity has started at the Wikimedia Meta-Wiki .	Voting for Wikiversity has started at .
Please read the proposal about Wikiversity and cast your vote to support or oppose this new Wikimedia project .	Please read the and cast your vote to support or oppose this new Wikimedia project .
Three years later , English language wikibooks now has over 15,000 Wikibook modules , over 1000 Wikibooks , over 500,000 edits , and over 25,000 registered users !	Three years later , English language wikibooks now has over 17,000 Wikibook modules , over 1000 Wikibooks , over 500,000 edits , and over 25,000 registered users !
I made my prior Wiki-Eperiences mainly as Schewek at the German language Wikipedia .	I made my prior wiki-experiences mainly as Schewek at the German language Wikipedia .
Welcome to the home page of the world &apos;s foremost open content organic chemistry textbook on the web !	Welcome to the world &apos;s foremost open content organic chemistry textbook on the web !
You just entered the world &apos;s foremost open content organic chemistry textbook on the web .	You just entered the world &apos;s foremost open content
on the web .	on the web !
The question is , are you ready to go ?	The question is , are you ready to go
Optional ordering :	Originally planned ordering :
Elimination reacions are in many ways similar to Nucleophilic substitution reactions and if you haven &apos;t read that section yet , you should definitely read itas well .	Elimination reacions are in many ways similar to Nucleophilic substitution reactions and if you haven &apos;t read that section yet , you should definitely read it as well .
Nucleophilic substitution reactions and Elimination reactionsshare a lot of common characteristics , on top of which , the E1 and SN1 as well as E2 and SN2reactions can sometimes compete and , since their products aredifferent , it &apos;s important to understand them both .	Nucleophilic substitution reactions and Elimination reactions share a lot of common characteristics , on top of which , the E1 and SN1 as well as E2 and SN2reactions can sometimes compete and , since their products are different , it &apos;s important to understand them both .
Withoutunderstanding both kinds of mechanisms , it would be difficult to getthe product you desire from a reaction .	Without understanding both kinds of mechanisms , it would be difficult to get the product you desire from a reaction .
A good example of how this can happen is by looking at how cyclohexane and cyclohexene derivates might operate in E2 conditions .	A good example of how this can happen is by looking at how cyclohexane and cyclohexene derivatives might operate in E2 conditions .
Notice how this is contrary to Zaitsev &apos;s rule which says the most supstituted alkene is preferred .	Notice how this is contrary to Zaitsev &apos;s rule which says the most substituted alkene is preferred .
Oxymercuration produces a Markovnikov product while Hydroboration produces and anti-Markovnikov product .	Oxymercuration produces a Markovnikov product while Hydroboration produces an anti-Markovnikov product .
Like the SN2 mechanism , structure plays an important roles in the SN1 mechanism .	Like the SN2 mechanism , structure plays an important role in the SN1 mechanism .
We &apos;ll see below why E1 reactions follow Zaitsev &apos;s rule more reliably and tends to produce a purer product .	We &apos;ll see below why E1 reactions follow Zaitsev &apos;s rule more reliably and tend to produce a purer product .
Zaitsev &apos;s rule says that the hydrogen will be removed predominately from the 3rd carbon .	Zaitsev &apos;s rule says that the hydrogen will be removed predominantly from the 3rd carbon .
Addition ishighly regiospecific	Addition is highly regiospecific
An alcohol is converted into an alkene by dehydration : elimination of amolecule of water .	An alcohol is converted into an alkene by dehydration : elimination of a molecule of water .
Reduction of Alkynes .	Reduction of Alkenes .
Reduction of an alkyne to the double-bond stage can unless the triple bond is at the end of a chain yield either a cis-alkene or a trans-alkene .	Reduction of an alkene to the double-bond stage can unless the triple bond is at the end of a chain yield either a cis-alkene or a trans-alkene .
Predominantly trans-alkene is obtained by reduction of alkynes with sodium or lithium in liquid ammonia .	Predominantly trans-alkene is obtained by reduction of alkenes with sodium or lithium in liquid ammonia .
presumably this same stereochemistry holds for the hydrogenation of terminal alkynes which cannot yield cis- and trans-alkenes .	presumably this same stereochemistry holds for the hydrogenation of terminal alkenes which cannot yield cis- and trans-alkenes .
Achiral object have at least one .	An achiral object has at least one .
A molecule is chiral if it has four different items bonded to it at the same time .	A carbon atom is chiral if it has four different items bonded to it at the same time .
It can also refer to a nitrogen atom bonded to four different types of molecules , if it the nitrogen atom is utilizing its lone pair as a nucleophile .	It can also refer to a nitrogen atom bonded to four different types of molecules , if the nitrogen atom is utilizing its lone pair as a nucleophile .
If the nitrogen has only three bonds it is not chiral , because the lone pair of electrons can flip from one side of the atom to other spontaneously .	If the nitrogen has only three bonds it is not chiral , because the lone pair of electrons can flip from one side of the atom to the other spontaneously .
Chiral molecules may have one or more stereocenters .	Chiral molecules often have one or more stereocenters .
Such compuonds are called meso compounds .	Such compounds are called meso compounds .
If these groups are arranged counter-clockwise around the carbon atom , then it is the D-form .	If these groups are arranged clockwise around the carbon atom , then it is the D-form .
If clockwise , it is the L-form .	If counter-clockwise , it is the L-form .
If these groups are arranged clockwise around the carbon atom , then it is the D-form .	If these groups are arranged clockwise around the carbon atom , then it is the L-form .
If counter-clockwise , it is the L-form .	If counter-clockwise , it is the D-form .
The costs associated with education further the divide , keeping the where they are .	The costs associated with education further the digital divide , keeping the disadvantaged where they are .
And oh yeah , I am currently a premed student at the State University .	And oh yeah , I am currently a premed student at the Cleveland State University .
Lets let the source community be the first to make this happen .	Lets let the open source community be the first to make this happen .
Check out Organic chemistry , my baby and the first book started on this groundbreaking site .	Check out Organic chemistry , the first book started on this groundbreaking site .
Thank you to Jimbo Wales and Brion Vibber , et al , who helped make my dream of a free textbook site a reality .	Thank you to Jimbo Wales and everyone else who helped make my dream of a free textbook site a reality .
I &apos;m a longtime member of the International Churches of Christ , currently in the Cleveland Church of Christ .	I &apos;m a longtime member of the International Churches of Christ , currently in the Cleveland church .
I love open source software and philosophy and don &apos;t like the business practices or ethics of many large corporations , primarily Microsoft , one bit .	I love open source software and philosophy and don &apos;t like the business practices or ethics of many large corporations , primarily Microsoft .
I support freedom , which was one of the main reasons I wanted to found this site .	I support freedom , which was one of the main reasons I founded this site .
I look forward to the day that the books that I and others start here are used by thousands upon thousands of learners all over the globe .	I look forward to the day that the books we write here are used by thousands upon thousands of learners all over the globe .
English as a Second Language the newest one for me .. going to try to piece together some material that I am just learning myself	English as a Second Language the newest one for me .. going to try to piece together some material that I am just learning myself .
General Biology due to a very generous contribution of notes by Paul Doerder , Ph.D. of the Cleveland State University , the basic structure of book is complete .	General Biology due to a very generous contribution of notes by Paul Doerder , Ph.D. and Ralph Gibson , Ph.D. of the Cleveland State University , the basic structure of book is complete .
General Biology due to a very generous contribution of notes by Paul Doerder , Ph.D. and Ralph Gibson , Ph.D. of the Cleveland State University , the basic structure of book is complete .	General Biology due to a very generous contribution of notes by Paul Doerder , Ph.D. and Ralph Gibson , Ph.D. of the Cleveland State University , the basic structure of the book is complete .
Chemistry not a whole lot of progress on this one yet but the first to have its own automated table of contents .	General Chemistry not a whole lot of progress on this one yet but the first to have its own automated table of contents .
Wikibooks was started to bring down textbook expense and improve textbook quality .	I started Wikibooks to bring down textbook expense and improve textbook quality .
I started Wikibooks to bring down textbook expense and improve textbook quality .	Started Wikibooks to bring down textbook expense and improve textbook quality .
I started this website while taking science classes at the Cleveland State University .	This website began while taking science classes at the Cleveland State University .
Some of the material on the site was donated by my professors there .	Some of the material on the site was donated by professors there .
I am a Christian .	Am a Christian .
Currently I live in the area .	Currently live in the area .
Turning to God was the best decision I &apos;ve made .	Turning to God was the best decision .
Turning to God was the best decision .	Turning to God was my best decision .
God speed the day that the books we write here are used by thousands or millions of learners all over the globe .	God speed the day that the books we write here are used by millions of learners all over the globe .
Currently living in .	Currently living in Mexico .
En Español----	En Español .
Some of the material on the site was donated by professors there .	Some of the first material on the site was donated by professors there .
Books I Started .	Wikibooks I Started .
Thank you to founder Jimbo Wales and everyone else who has already done much more than me to help further this dream .	Thank you to Wikipedia founder Jimbo Wales and everyone else who has already done much more than me to help further this dream .
disproving the &apos; vitsl force &apos; and breaking down the barrier between inorganic and	disproving the &apos; vital force &apos; theory and breaking down the barrier between inorganic and
Chemists of the period noted thaòt there seemed to be an essential yet inexplicable difference between the properties of the two different types of compounds .	Chemists of the period noted that there seemed to be an essential yet inexplicable difference between the properties of the two different types of compounds .
I think one thing that should be resolved swiftly is a template for recipies that is complete enough to accomondate the wide variety of cuisine there exists .	I think one thing that should be resolved swiftly is a template for recipies that is complete enough to accomodate the wide variety of cuisine there exists .
Page to ugly .	Page too ugly .
To purge the cashe of this page when any of the templates are changed , click here , which will allow non-logged in users to see the change .	To purge the cache of this page when any of the templates are changed , click here , which will allow non-logged in users to see the change .
Talk archives in order of date moved : , ,	Talk archives in order of date moved : , , ,
This might mean the seasonality information might have to be split by hemisphere as well .	This might mean the seasonality information would to be split by hemisphere as well .
I &apos;ve thrown together to templates ofr use on the ingredient pages :	I &apos;ve thrown together two templates to use on the ingredient pages :
Display a table for strawberries .	Displays a table for strawberries .
I &apos;m really looking forward to someone with more expertese doing some Textbooks on the following subjects	I &apos;m really looking forward to someone with more expertese doing some Textbooks on the Unix .
Please do not add recipes here .	Please do not add recipes here here .
The first main idea is that each atom is composed of a negatively charged nucleus that is surrounded by a cloud of positively charged electrons : Nucleus and electrons	The first main idea is that each atom is composed of a positively charged nucleus that is surrounded by a cloud of negatively charged electrons : Nucleus and electrons
Thay are : s , p , d , and f .	They are : s , p , d , and f .
cleus is made up of protons , which each have a positive charge , and neutrons , which have no charge .	The nucleus is made up of protons , which each have a positive charge , and neutrons , which have no charge .
Lanthanides and actinides are mostly irrelevent to organic chemistry .	Lanthanides and actinides are mostly irrelevant to organic chemistry .
In some instances , then , for example , the 4s orbitals will be filled before the 3d orbitals .	In some instances , then , for example , the 4s orbitals will be filled before the 3d orbitals.l
Electrons in this orbital are in their fundamental frequency .	Electrons in this orbital are in their fundamental frequency
Each shell in an orbital has a characteristic shape , and are named by a letter .	Each orbital has a characteristic shape , and is named by a letter .
The number of electrons and the nature of the orbitals they occupy greatly determines the chemical properties and reactivity of atoms and molecules .	The number of electrons and the nature of the orbitals they occupy basically determines the chemical properties and reactivity of all atoms and molecules .
The reason why electrons exist in higher energy orbitals is , because only two electrons can exist in any orbital .	The main reason why electrons exist in higher energy orbitals is , because only two electrons can exist in any orbital .
Carbon takes this shape because it only has six electrons which fill the the s but only two of the p orbitals .	Carbon takes this tetrahedral shape because it only has six electrons which fill the the s but only two of the p orbitals .
You them might see that the rope has more than one place along its length where it vibrates from its highest spot to its lowest spot .	You then might see that the rope has more than one place along its length where it vibrates from its highest spot to its lowest spot .
In some instances , then , for example , the 4s orbitals will be filled before the 3d orbitals.l	In some instances , then , for example , the 4s orbitals will be filled before the 3d orbitals .
When all the s and p orbitals are entirely full the molecule forms a shape called an octahedral which is another work for diamond .	When all the s and p orbitals are entirely full the molecule forms a shape called an octahedral which is another word for diamond .
In organic chemistry we look at the hybridization of electron orbitals in to something called molecular orbitals .	In organic chemistry we look at the hybridization of electron orbitals into something called molecular orbitals .
Each of these particles is made up of even smaller particles , though the existence of these particles do not come into play at the energies and time spans in which most chemical reactions occur .	Each of these particles is made up of even smaller particles , though the existence of these particles does not come into play at the energies and time spans in which most chemical reactions occur .
The orbitals are named using letters of the alaphabet .	The orbitals are named using letters of the alphabet .
The ratio of protons to neutrons is fairly critical , and any depature from the optimum range will lead to nuclear instability and thus radioactivity .	The ratio of protons to neutrons is fairly critical , and any departure from the optimum range will lead to nuclear instability and thus radioactivity .
Pauili exclusion principle .	Pauli exclusion principle .
The main exception to the rule is helium , which is at lowest energy when it has two electrons in its valence shell .	The main exception to the rule is hydrogen , which is at lowest energy when it has two electrons in its valence shell .
In simple terms , molecules are more stable when the outer shells of their constituent atoms are empty , full , or have 8 electrons in the outer shell .	In simple terms , molecules are more stable when the outer shells of their constituent atoms are empty , full , or have eight electrons in the outer shell .
and some atoms beyond group three on the periodic table that can have over 8 electrons , such as sulfur .	and some atoms beyond group three on the periodic table that can have over eight electrons , such as sulfur .
The mass of an electron is about 2000 times smaller than that of an proton or neutron at 0.00055 amu .	The mass of an electron is about 2000 times smaller than that of a proton or neutron at 0.00055 amu .
The main reason why electrons exist in higher energy orbitals is , because only two electrons can exist in any orbital .	The main reason why electrons exist in higher energy orbitals is because only two electrons can exist in any orbital .
Sulfur and phosphorus have empty D orbitals .	Sulphur and phosphorus have empty D orbitals .
Atoms are made up of a nucleus and electrons that orbit the nucleus .	Atoms are made up of a &apos; nucleus &apos; and electrons that orbit the nucleus .
The s and p orbitals are important for understanding most of organic chemistry as these are the orbitals that are occupied by the type of atoms that are most common in organic compounds .	The s and p orbitals are important for understanding most of organic chemistry as these are the orbitals that are occupied in the type of atoms that are most common in organic compounds .
No two electrons can have all four quantum numbers the same .	No two electrons in an atom can have all four quantum numbers the same .
The main exception to the rule is hydrogen , which is at lowest energy when it has two electrons in its valence shell .	The main exception to the rule is helium , which is at lowest energy when it has two electrons in its valence shell .
Neutrons and protons have about the same mass , and together account for most of the mass of the atom.having	Neutrons and protons have about the same mass , and together account for most of the mass of the atom .
This means that is pulls electrons closer to it , and has a higher share of the electrons in the bond .	This means that it pulls electrons closer to it , and has a higher share of the electrons in the bond .
Resonance structures are diagrammatic tools used predominately in organic chemistry to symbolize resonant bonds between atoms in molecules .	Resonance structures are diagrammatic tools used predominately in w : organic chemistry to symbolize resonant bonds between w : atoms in w : molecules .
The electron density of these bonds is spread over the molecule , also known as the delocalization of electrons .	The electron density of these bonds is spread over the molecule , also known as the w : delocalization of w : electrons .
Resonance contributors for the same molecule all have the same chemical formula and same sigma framework , but the pi electrons will be distributed differently among the atoms .	Resonance contributors for the same molecule all have the same w : chemical formula and same sigma framework , but the pi electrons will be distributed differently among the atoms .
Because Lewis dot diagrams often cannot represent the true electronic structure of a molecule , resonance structures are often employed to approximate the true electronic structure .	Because w : Lewis dot diagrams often cannot represent the true electronic structure of a molecule , resonance structures are often employed to approximate the true electronic structure .
While organic chemists use resonance structures frequently , they are used in inorganic structures , with nitrate as an example .	While organic chemists use resonance structures frequently , they are used in inorganic structures , with w : nitrate as an example .
Resonance should also not be confused with a chemical equilibrium or tautomerism which are equilibria between compounds that have different sigma bonding patterns .	Resonance should also not be confused with a w : chemical equilibrium or w : tautomerism which are equilibria between compounds that have different sigma bonding patterns .
Hyperconjugation is a special case of resonance .	w : Hyperconjugation is a special case of resonance .
The concept of resonance was introduced by Linus Pauling in 1928 .	The concept of resonance was introduced by w : Linus Pauling in 1928 .
The alternative term mesomerism popular in German and French publications with the same meaning was introduced by Christopher Ingold in 1938 but did not catch on in the English literature .	The alternative term mesomerism popular in German and French publications with the same meaning was introduced by w : Christopher Ingold in 1938 but did not catch on in the English literature .
The current concept of mesomeric effect has taken on a related but different meaning .	The current concept of w : mesomeric effect has taken on a related but different meaning .
Resonance should also not be confused with a w : chemical equilibrium or w : tautomerism which are equilibria between compounds that have different sigma bonding patterns .	Resonance should also not be confused with a chemical equilibrium or tautomerism which are equilibria between compounds that have different sigma bonding patterns .
w : Hyperconjugation is a special case of resonance .	Hyperconjugation is a special case of resonance .
While organic chemists use resonance structures frequently , they are used in inorganic structures , with nitrate as an example .	While organic chemists use resonance structures frequently , they are also used in inorganic structures , with nitrate as an example .
The second definition in widespread use deals not with a molecule &apos;spropensity for accepting or donating protons but rather with acceptingor donating electrons , thereby demonstrating a slightly differentemphasis and further broadening the explanatory and predictive powersof acid-base chemistry .	The second definition in widespread use deals not with a molecule &apos;s propensity for accepting or donating protons but rather with accepting or donating electrons , thereby demonstrating a slightly different emphasis and further broadening the explanatory and predictive powers of acid-base chemistry .
For the same reason , methane can not become methanium ion under ordinary circumstances , because the carbon in methane does not have any unshared pairs of electrons orbiting its nucleus .	For the same reason , methane cannot become methanium ion under ordinary circumstances , because the carbon in methane does not have any unshared pairs of electrons orbiting its nucleus .
Generally speaking , Lewis bases are in the nitrogen , oxygen or halogen groups of the periodic table .	Generally speaking , Lewis acid are in the nitrogen , oxygen or halogen groups of the periodic table .
Electron Dick Structures .	Electron Dot Structures .
A note about Mrs. Lewis .	A note about Gilbert N. Lewis .
These classifications are jsut a tool and are not rigid .	These classifications are just a tool and are not rigid .
Substitution reactions .	Double Replacement .
Everything that you study is geared to prepare you for organic syntheses and other processes in the lab .	Everything that you study is geared to prepare you for organic syntheses and other chemical transformations performed in the lab .
Something comes off of a molecule , resulting in two parts .	Something comes off of a molecule , resulting in two products .
Radical reactions dont deal with charged particles but with radicals .	Radical reactions don &apos;t deal with charged particles but with radicals .
Each different shell is subdivided one or more orbitals , which also have different energy levels , altough the difference between the energy between orbitals is less than the difference in energy between shells .	Each different shell is subdivided into one or more orbitals , which also have different energy levels , altough the difference between the energy between orbitals is less than the difference in energy between shells .
Going from there , we can recognize that a drum makes sound by vibrations that occur across the 2-dimensional surface fo the drumhead .	Going from there , we can recognize that a drum makes sound by vibrations that occur across the 2-dimensional surface of the drumhead .
The third kind of quantum number specifies , for those kinds of orbitals that can have different shapes , which of the possible shapes one is referring to .	The third kind of quantum number ml specifies , for those kinds of orbitals that can have different shapes , which of the possible shapes one is referring to .
Thus the lowest energy orbital which is available is filled first the increasing order	Thus the lowest energy orbital which is available is filled first .
The order of increasing of energy of orbitals can be cal .	The order of increasing of energy of orbitals can be calc .
on orbital will be fillede up first .	on orbital will be filled up first .
This textbook aims to cover every aspect of modern physics at an undergraduate level in such a manner that anyone who is literate , and not frightened of maths , should be able to understand and use it .	This textbook aims to cover every aspect of modern physics at an undergraduate level in such a manner that anyone who is literate , and not frightened of math , should be able to understand and use it .
Table of contentss .	Table of contents .
Notes about possible use .	Notes about possible use
Linear algebra is a branch of mathematics concerned with the study of vectors , vector spaces , linear transformations , ans systems of linear equations .	Linear algebra is a branch of mathematics concerned with the study of vectors , vector spaces , linear transformations , and systems of linear equations .
Every result in the book is intended to be be either proved or justified by some mathematical procedure .	Every result in the book is intended to be either proved or justified by some mathematical procedure .
Introductory Physics , figure 1.4 Copyright 1998 , 2000 , 2001 , 2003 David J. Raymond , under GNU FDL	Introductory Physics , figure 1.5 Copyright 1998 , 2000 , 2001 , 2003 David J. Raymond , under GNU FDL
Introductory Physics , figure 1.6 Copyright 1998 , 2000 , 2001 , 2003 David J. Raymond , under GNU FDL	Introductory Physics , figure 1.7 Copyright 1998 , 2000 , 2001 , 2003 David J. Raymond , under GNU FDL
Introductory Physics , figure 1.8 Copyright 1998 , 2000 , 2001 , 2003 David J. Raymond , under GNU FDL	Introductory Physics , figure 1.9 Copyright 1998 , 2000 , 2001 , 2003 David J. Raymond , under GNU FDL
Introductory Physics , figure 1.10 Copyright 1998 , 2000 , 2001 , 2003 David J. Raymond , under GNU FDL	Introductory Physics , figure 1.11 Copyright 1998 , 2000 , 2001 , 2003 David J. Raymond , under GNU FDL
Introductory Physics , figure 1.12 Copyright 1998 , 2000 , 2001 , 2003 David J. Raymond , under GNU FDL	Introductory Physics , figure 1.13 Copyright 1998 , 2000 , 2001 , 2003 David J. Raymond , under GNU FDL
Introductory Physics , figure 1.14 Copyright 1998 , 2000 , 2001 , 2003 David J. Raymond , under GNU FDL	Introductory Physics , figure 1.15 Copyright 1998 , 2000 , 2001 , 2003 David J. Raymond , under GNU FDL
Introductory Physics , figure 1.16 Copyright 1998 , 2000 , 2001 , 2003 David J. Raymond , under GNU FDL	Introductory Physics , figure 1.17 Copyright 1998 , 2000 , 2001 , 2003 David J. Raymond , under GNU FDL
Introductory Physics , figure 1.18 Copyright 1998 , 2000 , 2001 , 2003 David J. Raymond , under GNU FDL	Introductory Physics , figure 1.19 Copyright 1998 , 2000 , 2001 , 2003 David J. Raymond , under GNU FDL
I am open to relicensing my contributions here and on en : .	I am open to relicensing my own contributions here and on en : .
Calculus is the branch of mathematics dealing instantaneous changes in slopes and areas .	Calculus is the branch of mathematics dealing instantaneous changes in curves .
You know the velocity of the car , what is the position .	You know the velocity of the car ,
The first 5 chapters of this textbook cover the topics taught in a typical high school or college freshman course .	The first three chapters of this textbook cover the topics taught in a typical high school or college freshman course .
Because it can describe many natural phenomena involving change and motion , its use is pervasive in science and engineering , as well as medicine , business and industry , and many other fields .	It can describe many natural phenomena involving change and motion , so its use is widespread in science and engineering - as well as medicine , business , and industry , and many other fields .
For a different perspective , check out the Wikipedia entry for .	For a different perspective , have a look at the Wikipedia entry for .
If the car were traveling at a constant velocity then algebra could be used to determine the position of the car at any given time	If the car were traveling at a constant velocity , then algebra could be used to determine the position of the car at any given time
Both make heavy use of mathematical functions to describe and predict physical phenomena that are subject to continual change , which requires the use of calculus .	Both science and engineering make heavy use of mathematical functions to describe and predict physical phenomena that are subject to continual change , and this requires the use of calculus .
In fact , almost all modern business , science , and medicine relies on calculus for it &apos;s tools .	In fact , almost all modern business , science , and medicine relies on calculus for its tools .
Calculus also gives us important tools in understanding functions , and has lead to the development of entire areas of mathematics , from analysis to topology to non-euclidean geometry .	Calculus also gives us important tools in understanding functions , and has led to the development of entire areas of mathematics , from analysis to topology to non-euclidean geometry .
Calculus is necessary to study the motion of gasses and particles , the interaction of forces , and the transfer of energy , among other things .	Calculus is necessary to study the motion of gases and particles , the interaction of forces , and the transfer of energy , among other things .
Calculus is necessary to study the motion of gases and particles , the interaction of forces , and the transfer of energy , among other things .	Calculus is also necessary to study the motion of gases and particles , the interaction of forces , and the transfer of energy .
For example , equations involving interest or supply and demand curves are also in the language of calculus .	For example , equations involving interest or supply and demand curves are grounded in the language of calculus .
Calculus is a tool used almost everywhere in the modern world to describge change and motion .	Calculus is a tool used almost everywhere in the modern world to describe change and motion .
If the car were traveling at a constant velocity , then algebra wuld be sufficient to determine the position of the car at any time	If the car were traveling at a constant velocity , then algebra would be sufficient to determine the position of the car at any time
The first three chapters of this textbook cover the topics taught in a typical high school or first year college course .	The first four chapters of this textbook cover the topics taught in a typical high school or first year college course .
The first chapter , Precalculus , reviews those aspects of functions most essential to the mastery of Calculus , introduces the concept of the limit process .	The first chapter , Precalculus , reviews those aspects of functions most essential to the mastery of Calculus , the second Limits , introduces the concept of the limit process .
The second and third chapters include articles that apply the concepts previously learned to calculating volumes , and so on as well as other important formulae .	The third and fourth chapters include articles that apply the concepts previously learned to calculating volumes , and so on as well as other important formulae .
Calculus also provided important tools in understanding functions and has led to the development of new areas of mathematics including real and complex analysis , topology , and non-euclidean geometry .	Calculus also provides important tools in understanding functions and has led to the development of new areas of mathematics including real and complex analysis , topology , and non-euclidean geometry .
Calculus is the brancg of mathematics dealing with instantaneous rates of change of continuously varying quantities .	Calculus is the branch of mathematics dealing with instantaneous rates of change of continuously varying quantities .
In the long run the program should be rewritten in a better language like Visual Basic .	In the long run the program should be rewritten in a better language .
I will not simply start again .	I will not simply start again from scratch .
Nanythegreat , of course I understand that you are upset .	Narythegreat , of course I understand that you are upset .
Nanythegreat , I need your help .	Narythegreat , I need your help .
Narythegreat , of course I understand that you are upset .	Naryathegreat , of course I understand that you are upset .
Does any TOC class not just auto ones get hidden when your preferences turn of TOCs ?	Does any TOC class not just auto ones get hidden when your preferences turn off TOCs ?
Consistancy in notation greatly improves the readibility of mathematical text .	Consistency in notation greatly improves the readability of mathematical text .
Occaisionally people do the following , for instance , which is incorrect :	Occasionally people do the following , for instance , which is incorrect :
Functions were used so much that there is a special notation for them	Functions are used so much that there is a special notation for them
This is useful for indicating the value of the function for a particular value of the dependent variable .	This is useful for indicating the value of the function for a particular value of the independent variable .
Thus , after plotting those three points , a ruler or straightedge may be use to draw the graph as far as is needed .	Thus , after plotting those three points , a ruler or straightedge may be used to draw the graph as far as is needed .
The x stands for any number you want to plug in , which is equivalent to plugging a power cord into an electrical socket .	The x in parenthesis stands for any input number you want to plug in , which is equivalent to plugging a power cord into an electrical socket .
If every horizontal line intersects the graph in at most one point , then the function is one-to-one .	If every vertical line intersects the graph in at most one point , then the function is one-to-one .
See the section on single-valued functions below .	See the section on single-valued functions or one-to-one functions below .
A function is a relation that for every element in the domain there is one and only on in the range .	A function is a relation that for every element in the domain there is one and only one in the range .
It consists of multiply , dividing , adding or subtracting constants to either the argument , or the output .	They consist of multiplying , dividing , adding or subtracting constants to either the argument or the output .
The following arise as a direct consequence of the defintion of functions :	The following arise as a direct consequence of the definition of functions :
Transformations are a type of function manipulation that is very common .	Transformations are a type of function manipulation that are very common .
For instance , if :	For instance , if
In other words :	In other words ,
The output represents the distance from the x-axis , so in effect , you have made the function &apos; taller &apos; .	The output represents the distance from the x-axis , so in effect , you have made the graph of the function &apos; taller &apos; .
Thus , after plotting those three points , a ruler or straightedge may be used to draw the graph as far as is needed .	Thus , after plotting the two points , a straightedge may be used to draw the graph as far as is needed .
One way to think about this , is now any change in the input will be doubled .	One way to think about this is that now any change in the input will be doubled .
Important functions .	Example functions .
